Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2305809129,2020-10-18,Cognizant,Junior Data Scientist,"Antwerp, Flemish Region, Belgium","Our Company  Cognizant is one of the world's leading services companies, transforming clients' business, operating and technology models for the digital era. Headquartered in the U.S., Cognizant is ranked 195 on the fortune 500 and is consistently listed among the most admired companies in the world.  With 285,800 employees worldwide, Cognizant is one of the top performing and fastest growing companies in the world. Cognizant Benelux has offices in Amsterdam, Eindhoven and Brussels. We provide consulting, engineering, technology and outsourcing solutions and services with combined onshore and offshore teams.  We are hiring graduates to join our international colleagues within Business Consulting, Technology or Domain teams who provide services to our clients across industries. Prior to your client engagement, you will attend an Induction Training abroad. After this you will join our 18 months graduate program, which will focus on personal development and technical training. We will ensure you get all the support to kickstart your career.    As data scientist / analytics consultant you will apply your statistical, analytical, coding and visualization skills every single day. Depending on your expertise, you can:   Most of the time you will be working on-site with customers in Belgium.        Employee Status : Full Time Employee  Shift : Day Job  Job Posting : May 26 2020    Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 194 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant. Show more",Entry level,Full-time,EngineeringInformation Technology,Information Technology and ServicesStaffing and RecruitingManagement Consulting
2355617771,2021-01-08,KBC Bank &amp; Verzekering,Data Scientist,"Flemish Region, Belgium","What does this job entail?  In a changing market environment, where customer needs are more diverse and customer expectations are more personalized, KBC group wants to optimally use the growing “data footprint” of the market to become more customer centric and become a reference in data analytics. Ultimately, we aim to transform our business into a data driven group.  KBC therefore wants to attract external capabilities that are highly advanced in exploiting, analysing and modelling data but most importantly, who are able to apply the insights in the business context.          #Criticalthinking, #Effectivecommunication, #Proactiveproblemsolving, #Businesssense, #BigData , #Artificialintelligence, #Python, #SQL, #Statistics     Why KBC? As one of the largest Belgian bank-insurer, we work every day on ideas and solutions in order to help our customers as well as our society. We are an innovation- driven company and a reference in the financial sector. Join us and make the difference!    As a data scientist, I’m responsible for the development of innovative applications. Furthermore, I am involved from scoping a project with business till deployment. Continuous learning, dealing with technical challenges and delivering business value are key in this job.  Simeon Devos, Data Scientist  Got a question for our Talent Acquisition advisor?  Melih Erdem Koctepe meliherdem.koctepe@kbc.be  Published on 19 October 2020 Show more",Entry level,Full-time,AnalystInformation TechnologyEngineering,Information ServicesResearch
2329074638,2020-12-15,EY,Junior Data Analyst,"Brussels, Brussels Region, Belgium","EY is a global leader in assurance, tax, transaction and advisory services. The insights and quality services we deliver help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all of our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities. Visit us at www.ey.com/careersbelgium.               Show more",Entry level,Full-time,Analyst,Information ServicesInformation Technology and Services
2330688025,2020-12-17,Brussels Airport Company,Data Scientist,"Brussels, Brussels Region, Belgium","Apply Here Back  Bouw jij mee aan de luchthaven van morgen?  Al enige tijd pakken donkere wolken samen boven Brussels Airport Company: de coronapandemie zorgt voor een ongeziene crisis in de luchtvaartsector.  Maar elke crisis biedt kansen. En straks breekt de zon weer door!  Wij kijken dan ook met vertrouwen naar de toekomst. Daarom zoeken we vandaag talenten om mee vorm te geven aan de luchthaven van morgen.  Ben je niet bang voor wat turbulentie en hou je wel van een uitdaging? Stap dan nu aan boord voor een vlucht vol avontuur. Wij zorgen voor boeiende projecten en interessante doorgroeimogelijkheden.    Om ons departement te versterken, zijn we voor het op zoek naar een (M/V).  Onze Data Science Unit richt zich op de ontwikkeling van data gedreven gepersonaliseerde en marktinzichten die kunnen worden geïntegreerd in onze digitale oplossingen. In deze context is de data scientist de end-to-end verantwoordelijk voor de gecreëerde inzichten en resultaten.           Bij Brussels Airport werk je in een wereld op zich, vol nieuwe kansen en boeiende uitdagingen. Je komt terecht in een unieke en inspirerende omgeving, die jouw talenten vleugels geeft.  Brussels Airport heeft zijn eigen treinstation, met heel veel verbindingen. Je staat in no time en zonder stress op je werk. Ook je step of fiets zijn uiteraard welkom.  Naast een bieden wij je ook heel wat . Wat dacht je van een top-notch verzekeringspakket, kortingen op luchthavendiensten, maaltijdcheques en een mobiliteitspakket?  Aan boord bij Brussels Airport Company krijg je ook veel ruimte voor : 39 vakantiedagen per jaar, flexibele werkuren én occasioneel thuiswerk.  Ontdek de wereld van Brussels Airport door onze virtual reality-bril: https://www.brusselsairport.be/nl/onze-luchthaven/strategische-visie-2040    Zin gekregen om jezelf te overstijgen en mee te reizen naar onze bestemming 2040?  Stuur jouw CV en motivatiebrief via de daarvoor bestemde link. En wie weet, verwelkomen we je heel binnenkort wel aan boord!    Heb je toch nog vragen? Contacteer dan gerust Nante Rasolo op 02/753.44.52. Show more",Entry level,Full-time,EngineeringInformation Technology,ConstructionInformation Technology and ServicesAirlines/Aviation
2302899305,2020-10-17,KPMG Deutschland,(Junior) Data Scientist / Data Analyst (w/m/d),"Kiel, Flemish Region, Belgium","Als (Junior) Data Scientist / Data Analyst (w/m/d) analysierst und bewertest Du große Datenmengen und hilfst unseren Kunden dadurch die besten Entscheidungen für ihr Unternehmen zu treffen. Ob im Bereich Tax, Audit, Deal Advisory oder Finance - mit Dir werden Daten zu Informationen.  Deine Aufgaben  Du willst Big Data in Smart Data verwandeln? Dann kannst Du Dich hier einbringen:    Dein Profil  Show more",Entry level,Full-time,EngineeringInformation Technology,DesignInternetManagement Consulting
2321047527,2021-01-07,Figo Solutions,Data Science Team Lead,"Brussels, Brussels Region, Belgium",Direct message the job poster from Figo Solutions Antonio Catanho Managing Director at Figo Solutions,Associate,Full-time,EngineeringInformation Technology,Staffing and Recruiting
2350914927,2021-01-06,Qualifio,Data Scientist - Internship,"Ottignies-Louvain-la-Neuve, Walloon Region, Belgium",Direct message the job poster from Qualifio Thomas Colson Recruitment & Development Manager | Freelance | Trilingual,Internship,Internship,AnalystScienceInformation Technology,Information Technology and ServicesMarketing and Advertising
2372031247,2021-01-07,Orange,Reporting Project Leader (PowerBi),Brussels Metropolitan Area,Reporting Project Leader  Working for Orange Belgium  Orange is a ‘bold’ challenger on the Belgium telecom market. We are looking for a dynamic and experienced colleague to join our Finance department. Maybe your talents are the ones we are currently looking for!         Show more,Mid-Senior level,Full-time,Information Technology,Telecommunications
2211174101,2020-12-25,McKinsey &amp; Company,Data Scientist - Climate Analytics,"Brussels, Brussels Region, Belgium","Apply Now  Qualifications Graduate degree (PhD/postdoc highly preferred) in atmospheric science, meteorology, climate/earth systems science, hydrology, civil/environmental engineering, astrophysics, or similar fields    You’ll work with McKinsey’s Climate Analytics team, ideally co-located with our team in Brussels, although remote work can be considered.  Our Climate Analytics team is McKinsey’s core team of experts who analyze, and generate insights from, the quantitative impact of climate change for our clients.  McKinsey’s Climate Analytics team is a small, close-knit team of ~8 within a broader team called ACRE. ACRE is composed of ~40 data scientists, engineers and expert consultants dedicated to conducting advanced analytics for food and agriculture clients. Although our Climate Analytics team is officially part of ACRE, and many of your core clients served will be agriculture clients because of this, our Climate Analytics team works across all sectors at McKinsey being impacted by climate change—for example, the public, energy, and financial sectors. Regardless of the sectors in which you work, you will get the opportunity to work with multi-disciplinary teams with digital, analytics, research and business backgrounds.  ACRE—and through extension, our Climate Analytics team—is an agile team within the firm whose goal is to use the latest analytical methods, incubate new technologies and drive innovative ways to develop new opportunities for the firm to make significant and lasting client impact – redefining what it means to provide the “best of the firm” to our clients. (Please note that all work right now is remote due to COVID-19).   You will leverage deep knowledge of climate and earth systems as well as analytical expertise to provide insights to clients (as part of a client service team), within ACRE by strengthening our core client product offerings, and across McKinsey and the public by synthesizing and disseminating climate-related insights via internally and externally published articles and visualizations.  Approximately half of your time will be spent solving specific business problems on client projects (either remotely or on site) and the other half of your time spent developing new, or improving upon existing, products for the Climate Analytics team within ACRE.  As a member of a client service team, you will leverage your creativity and problem-solving skills to design solutions to core business problems that best meet client needs and communicate the outcomes and insights of your work to primarily non-technical executive audiences. Some of the issues we are tasked with on a client project include retrieving and processing large amounts of data from cloud storage, conducting analyses and generating insight based on medium to long term projected changes in climate, and more generally utilizing climate domain expertise to provide climate-specific insight and inform strategy for addressing climate risk across industries.  When working internally with the ACRE team, you will improve current product offerings (what we call “IP development”) to best meet our most common client needs. You will work in a collaborative agile team environment where you will bring together a variety of global data sources, implement different algorithms and utilize cutting edge methodologies and approaches to develop proprietary solutions. You will work together with our data engineering team to design and deploy applications and dashboards to deliver faster, more impactful insights to our clients.  Along the way, you will learn how to structure business problems and serve as a client advisor while working closely with other data scientists/engineers and senior leaders across industries shaping the future of climate. You will have access to unparalleled career acceleration, with ownership and responsibility to lead the work you do from day one in a collaborative, diverse, non-hierarchical environment. You will have the opportunity to travel to client sites, locally and around the world. Lastly, you will be able to provide direct and measurable impact to some of the largest players from energy to agriculture around the globe. Show more",Executive,Full-time,ResearchScience,Environmental ServicesFarmingRenewables & Environment
2372525072,2021-01-08,ZNA - Ziekenhuis Netwerk Antwerpen,Clinical Data Scientist - Antwerp,"Antwerp, Belgium","Ben je geïnteresseerd in het begrijpen en modelleren van complexe medische zorgprocessen?  Wil je een rol spelen in de transitie van ZNA naar een data-gedreven value based healthcare organisatie gericht op de verbetering van de kwaliteit en efficiëntie van de gezondheidszorg?             We bieden jou een prettig werkklimaat in een enthousiast team met erkenning en ondersteuning voor jouw ambities, inbreng en creativiteit. Ook zorgen we voor een evenwichtig loonpakket met talloze extra’s (o.a. maaltijdcheques, hospitalisatieverzekering, terugbetaling woon-werkverkeer) en gratis aansluiting bij de ZNA Club met tal van personeelsvoordelen. Maar dat is lang niet alles! Ontdek alle voordelen van een job bij ZNA op onze ZNA website, want wij leggen je als medewerker graag in de watten. Show more",Associate,Contract,ResearchAnalystInformation Technology,Hospital & Health Care
